Timestamp start (Europe/Brussels),Timestamp end (Europe/Brussels),Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh),dtbe,dtutc
02/01/2024 10:30,02/01/2024 10:45,77.37,2024-01-02 10:30:00+01:00,2024-01-02 09:30:00+00:00
02/01/2024 10:45,02/01/2024 11:00,77.37,2024-01-02 10:45:00+01:00,2024-01-02 09:45:00+00:00
02/01/2024 11:00,02/01/2024 11:15,80.57,2024-01-02 11:00:00+01:00,2024-01-02 10:00:00+00:00
02/01/2024 11:15,02/01/2024 11:30,80.57,2024-01-02 11:15:00+01:00,2024-01-02 10:15:00+00:00
02/01/2024 11:30,02/01/2024 11:45,80.57,2024-01-02 11:30:00+01:00,2024-01-02 10:30:00+00:00
02/01/2024 11:45,02/01/2024 12:00,80.57,2024-01-02 11:45:00+01:00,2024-01-02 10:45:00+00:00
02/01/2024 12:00,02/01/2024 12:15,83.69,2024-01-02 12:00:00+01:00,2024-01-02 11:00:00+00:00
02/01/2024 12:15,02/01/2024 12:30,83.69,2024-01-02 12:15:00+01:00,2024-01-02 11:15:00+00:00
02/01/2024 12:30,02/01/2024 12:45,83.69,2024-01-02 12:30:00+01:00,2024-01-02 11:30:00+00:00
02/01/2024 12:45,02/01/2024 13:00,83.69,2024-01-02 12:45:00+01:00,2024-01-02 11:45:00+00:00
02/01/2024 13:00,02/01/2024 13:15,85.24,2024-01-02 13:00:00+01:00,2024-01-02 12:00:00+00:00
02/01/2024 13:15,02/01/2024 13:30,85.24,2024-01-02 13:15:00+01:00,2024-01-02 12:15:00+00:00
02/01/2024 13:30,02/01/2024 13:45,85.24,2024-01-02 13:30:00+01:00,2024-01-02 12:30:00+00:00
02/01/2024 13:45,02/01/2024 14:00,85.24,2024-01-02 13:45:00+01:00,2024-01-02 12:45:00+00:00
02/01/2024 14:00,02/01/2024 14:15,83.42,2024-01-02 14:00:00+01:00,2024-01-02 13:00:00+00:00
02/01/2024 14:15,02/01/2024 14:30,83.42,2024-01-02 14:15:00+01:00,2024-01-02 13:15:00+00:00
02/01/2024 14:30,02/01/2024 14:45,83.42,2024-01-02 14:30:00+01:00,2024-01-02 13:30:00+00:00
02/01/2024 14:45,02/01/2024 15:00,83.42,2024-01-02 14:45:00+01:00,2024-01-02 13:45:00+00:00
02/01/2024 15:00,02/01/2024 15:15,82.03,2024-01-02 15:00:00+01:00,2024-01-02 14:00:00+00:00
02/01/2024 15:15,02/01/2024 15:30,82.03,2024-01-02 15:15:00+01:00,2024-01-02 14:15:00+00:00
02/01/2024 15:30,02/01/2024 15:45,82.03,2024-01-02 15:30:00+01:00,2024-01-02 14:30:00+00:00
02/01/2024 15:45,02/01/2024 16:00,82.03,2024-01-02 15:45:00+01:00,2024-01-02 14:45:00+00:00
02/01/2024 16:00,02/01/2024 16:15,81.2,2024-01-02 16:00:00+01:00,2024-01-02 15:00:00+00:00
02/01/2024 16:15,02/01/2024 16:30,81.2,2024-01-02 16:15:00+01:00,2024-01-02 15:15:00+00:00
02/01/2024 16:30,02/01/2024 16:45,81.2,2024-01-02 16:30:00+01:00,2024-01-02 15:30:00+00:00
02/01/2024 16:45,02/01/2024 17:00,81.2,2024-01-02 16:45:00+01:00,2024-01-02 15:45:00+00:00
02/01/2024 17:00,02/01/2024 17:15,88.98,2024-01-02 17:00:00+01:00,2024-01-02 16:00:00+00:00
02/01/2024 17:15,02/01/2024 17:30,88.98,2024-01-02 17:15:00+01:00,2024-01-02 16:15:00+00:00
02/01/2024 17:30,02/01/2024 17:45,88.98,2024-01-02 17:30:00+01:00,2024-01-02 16:30:00+00:00
02/01/2024 17:45,02/01/2024 18:00,88.98,2024-01-02 17:45:00+01:00,2024-01-02 16:45:00+00:00
02/01/2024 18:00,02/01/2024 18:15,96.5,2024-01-02 18:00:00+01:00,2024-01-02 17:00:00+00:00
02/01/2024 18:15,02/01/2024 18:30,96.5,2024-01-02 18:15:00+01:00,2024-01-02 17:15:00+00:00
02/01/2024 18:30,02/01/2024 18:45,96.5,2024-01-02 18:30:00+01:00,2024-01-02 17:30:00+00:00
02/01/2024 18:45,02/01/2024 19:00,96.5,2024-01-02 18:45:00+01:00,2024-01-02 17:45:00+00:00
02/01/2024 19:00,02/01/2024 19:15,94.63,2024-01-02 19:00:00+01:00,2024-01-02 18:00:00+00:00
02/01/2024 19:15,02/01/2024 19:30,94.63,2024-01-02 19:15:00+01:00,2024-01-02 18:15:00+00:00
02/01/2024 19:30,02/01/2024 19:45,94.63,2024-01-02 19:30:00+01:00,2024-01-02 18:30:00+00:00
02/01/2024 19:45,02/01/2024 20:00,94.63,2024-01-02 19:45:00+01:00,2024-01-02 18:45:00+00:00
02/01/2024 20:00,02/01/2024 20:15,86.51,2024-01-02 20:00:00+01:00,2024-01-02 19:00:00+00:00
02/01/2024 20:15,02/01/2024 20:30,86.51,2024-01-02 20:15:00+01:00,2024-01-02 19:15:00+00:00
02/01/2024 20:30,02/01/2024 20:45,86.51,2024-01-02 20:30:00+01:00,2024-01-02 19:30:00+00:00
02/01/2024 20:45,02/01/2024 21:00,86.51,2024-01-02 20:45:00+01:00,2024-01-02 19:45:00+00:00
02/01/2024 21:00,02/01/2024 21:15,74.47,2024-01-02 21:00:00+01:00,2024-01-02 20:00:00+00:00
02/01/2024 21:15,02/01/2024 21:30,74.47,2024-01-02 21:15:00+01:00,2024-01-02 20:15:00+00:00
02/01/2024 21:30,02/01/2024 21:45,74.47,2024-01-02 21:30:00+01:00,2024-01-02 20:30:00+00:00
02/01/2024 21:45,02/01/2024 22:00,74.47,2024-01-02 21:45:00+01:00,2024-01-02 20:45:00+00:00
02/01/2024 22:00,02/01/2024 22:15,64.17,2024-01-02 22:00:00+01:00,2024-01-02 21:00:00+00:00
02/01/2024 22:15,02/01/2024 22:30,64.17,2024-01-02 22:15:00+01:00,2024-01-02 21:15:00+00:00
02/01/2024 22:30,02/01/2024 22:45,64.17,2024-01-02 22:30:00+01:00,2024-01-02 21:30:00+00:00
02/01/2024 22:45,02/01/2024 23:00,64.17,2024-01-02 22:45:00+01:00,2024-01-02 21:45:00+00:00
02/01/2024 23:00,02/01/2024 23:15,51.96,2024-01-02 23:00:00+01:00,2024-01-02 22:00:00+00:00
02/01/2024 23:15,02/01/2024 23:30,51.96,2024-01-02 23:15:00+01:00,2024-01-02 22:15:00+00:00
02/01/2024 23:30,02/01/2024 23:45,51.96,2024-01-02 23:30:00+01:00,2024-01-02 22:30:00+00:00
02/01/2024 23:45,03/01/2024 00:00,51.96,2024-01-02 23:45:00+01:00,2024-01-02 22:45:00+00:00
03/01/2024 00:00,03/01/2024 00:15,45.05,2024-01-03 00:00:00+01:00,2024-01-02 23:00:00+00:00
03/01/2024 00:15,03/01/2024 00:30,45.05,2024-01-03 00:15:00+01:00,2024-01-02 23:15:00+00:00
03/01/2024 00:30,03/01/2024 00:45,45.05,2024-01-03 00:30:00+01:00,2024-01-02 23:30:00+00:00
03/01/2024 00:45,03/01/2024 01:00,45.05,2024-01-03 00:45:00+01:00,2024-01-02 23:45:00+00:00
03/01/2024 01:00,03/01/2024 01:15,45.96,2024-01-03 01:00:00+01:00,2024-01-03 00:00:00+00:00
03/01/2024 01:15,03/01/2024 01:30,45.96,2024-01-03 01:15:00+01:00,2024-01-03 00:15:00+00:00
03/01/2024 01:30,03/01/2024 01:45,45.96,2024-01-03 01:30:00+01:00,2024-01-03 00:30:00+00:00
03/01/2024 01:45,03/01/2024 02:00,45.96,2024-01-03 01:45:00+01:00,2024-01-03 00:45:00+00:00
03/01/2024 02:00,03/01/2024 02:15,43.19,2024-01-03 02:00:00+01:00,2024-01-03 01:00:00+00:00
03/01/2024 02:15,03/01/2024 02:30,43.19,2024-01-03 02:15:00+01:00,2024-01-03 01:15:00+00:00
03/01/2024 02:30,03/01/2024 02:45,43.19,2024-01-03 02:30:00+01:00,2024-01-03 01:30:00+00:00
03/01/2024 02:45,03/01/2024 03:00,43.19,2024-01-03 02:45:00+01:00,2024-01-03 01:45:00+00:00
03/01/2024 03:00,03/01/2024 03:15,38.74,2024-01-03 03:00:00+01:00,2024-01-03 02:00:00+00:00
03/01/2024 03:15,03/01/2024 03:30,38.74,2024-01-03 03:15:00+01:00,2024-01-03 02:15:00+00:00
03/01/2024 03:30,03/01/2024 03:45,38.74,2024-01-03 03:30:00+01:00,2024-01-03 02:30:00+00:00
03/01/2024 03:45,03/01/2024 04:00,38.74,2024-01-03 03:45:00+01:00,2024-01-03 02:45:00+00:00
03/01/2024 04:00,03/01/2024 04:15,39.12,2024-01-03 04:00:00+01:00,2024-01-03 03:00:00+00:00
03/01/2024 04:15,03/01/2024 04:30,39.12,2024-01-03 04:15:00+01:00,2024-01-03 03:15:00+00:00
03/01/2024 04:30,03/01/2024 04:45,39.12,2024-01-03 04:30:00+01:00,2024-01-03 03:30:00+00:00
03/01/2024 04:45,03/01/2024 05:00,39.12,2024-01-03 04:45:00+01:00,2024-01-03 03:45:00+00:00
03/01/2024 05:00,03/01/2024 05:15,41.69,2024-01-03 05:00:00+01:00,2024-01-03 04:00:00+00:00
03/01/2024 05:15,03/01/2024 05:30,41.69,2024-01-03 05:15:00+01:00,2024-01-03 04:15:00+00:00
03/01/2024 05:30,03/01/2024 05:45,41.69,2024-01-03 05:30:00+01:00,2024-01-03 04:30:00+00:00
03/01/2024 05:45,03/01/2024 06:00,41.69,2024-01-03 05:45:00+01:00,2024-01-03 04:45:00+00:00
03/01/2024 06:00,03/01/2024 06:15,52.64,2024-01-03 06:00:00+01:00,2024-01-03 05:00:00+00:00
03/01/2024 06:15,03/01/2024 06:30,52.64,2024-01-03 06:15:00+01:00,2024-01-03 05:15:00+00:00
03/01/2024 06:30,03/01/2024 06:45,52.64,2024-01-03 06:30:00+01:00,2024-01-03 05:30:00+00:00
03/01/2024 06:45,03/01/2024 07:00,52.64,2024-01-03 06:45:00+01:00,2024-01-03 05:45:00+00:00
03/01/2024 07:00,03/01/2024 07:15,70.58,2024-01-03 07:00:00+01:00,2024-01-03 06:00:00+00:00
03/01/2024 07:15,03/01/2024 07:30,70.58,2024-01-03 07:15:00+01:00,2024-01-03 06:15:00+00:00
03/01/2024 07:30,03/01/2024 07:45,70.58,2024-01-03 07:30:00+01:00,2024-01-03 06:30:00+00:00
03/01/2024 07:45,03/01/2024 08:00,70.58,2024-01-03 07:45:00+01:00,2024-01-03 06:45:00+00:00
03/01/2024 08:00,03/01/2024 08:15,81.58,2024-01-03 08:00:00+01:00,2024-01-03 07:00:00+00:00
